URL,Response,Type
https://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html,200.0,Internal
http://www.tpsgc-pwgsc.gc.ca/comm/ms-sm/index-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/ontario/eaux-water/rss-eng.xml,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/comm/ms-sm/conditions-terms-linkedin-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/medias-media/rssrcs-cntcts-eng.html,200.0,Internal
mailto:tpsgc.rqmedia-qrmedia.pwgsc@tpsgc-pwgsc.gc.ca,,Internal
mailto:media@tpsgc-pwgsc.gc.ca,,Internal
mailto:socialmedia-mediassociaux@tpsgc-pwgsc.gc.ca,,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/communiquer-contact-eng.html,200.0,Internal
mailto:aiprp.atip@tpsgc-pwgsc.gc.ca,,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/demanderpersonnels-requestingpersonal-eng.html#a2,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/comprendredroit-understandingright-eng.html#a2,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/infosource-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/demanderpersonnels-requestingpersonal-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/information-demande-requesting-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/consulter-consulting-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/bouttonachatrg-rgbuybutton-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/siis-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/sbe-fbs-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/appwebrem-compwebapp-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/prcssscrrspndnc-crrspndncprcsss-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/publications-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/pmssp-gcpmp-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html#fn2-rf,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html#fn1-rf,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html#fn2,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html#fn1,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/sebarg-rupias-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/prgsecind-indsecprg-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/plaintes-complaints-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/pmsspgai-gcpmpecmi-eng.html,200.0,Internal
https://www.tpsgc-pwgsc.gc.ca/aiprp-atip/efvp-pia/srsdmc-cgpess-eng.html,200.0,Internal
