URL,Response,Type
http://www.nserc-crsng.gc.ca,200.0,Internal
http://www.nserc-crsng.gc.ca/Help-Aide/Notice-Avis_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/ContactUs-ContactezNous/ContactWebmaster-ContactezWebmestre_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/ContactUs-ContactezNous/RegionalOffices-BureauxRegionaux_fra.asp,200.0,Internal
mailto:john.jackson@nserc-crsng.gc.ca,,Internal
mailto:alejandra.dealmeida@nserc-crsng.gc.ca,,Internal
mailto:sarah.oneill@nserc-crsng.gc.ca,,Internal
mailto:maja.bracovic@nserc-crsng.gc.ca,,Internal
mailto:nazia.moosun@nserc-crsng.gc.ca,,Internal
mailto:nserc-ontario@nserc-crsng.gc.ca,,Internal
mailto:helene.fortier@nserc-crsng.gc.ca,,Internal
mailto:tina.desantis@nserc-crsng.gc.ca,,Internal
mailto:robert.deziel@nserc-crsng.gc.ca,,Internal
mailto:crsng-quebec@nserc-crsng.gc.ca,,Internal
mailto:robyn.auld@nserc-crsng.gc.ca,,Internal
mailto:frank.nolan@nserc-crsng.gc.ca,,Internal
mailto:tricia.meaud@nserc-crsng.gc.ca,,Internal
mailto:elliot.king@nserc-crsng.gc.ca,,Internal
mailto:irene.mikawoz@nserc-crsng.gc.ca,,Internal
mailto:nserc-prairies@nserc-crsng.gc.ca,,Internal
mailto:pam.giberson@nserc-crsng.gc.ca,,Internal
mailto:megan.griffith@nserc-crsng.gc.ca,,Internal
mailto:deborah.amanuel@nserc-crsng.gc.ca,,Internal
mailto:rick.warner@nserc-crsng.gc.ca,,Internal
mailto:nserc-pacific@nserc-crsng.gc.ca,,Internal
mailto:dominique.maillet@nserc-crsng.gc.ca,,Internal
mailto:jason.frenette@nserc-crsng.gc.ca,,Internal
mailto:cecile.laplante@nserc-crsng.gc.ca,,Internal
mailto:Gordon.deveau@nserc-crsng.gc.ca,,Internal
mailto:nserc-atlantic@nserc-crsng.gc.ca,,Internal
http://www.nserc-crsng.gc.ca#Ontario-Ontario,200.0,Internal
http://www.nserc-crsng.gc.ca#Quebec-Quebec,200.0,Internal
http://www.nserc-crsng.gc.ca#Prairies-Prairies,200.0,Internal
http://www.nserc-crsng.gc.ca#Pacific-Pacifique,200.0,Internal
http://www.nserc-crsng.gc.ca#Atlantic-Atlantique,200.0,Internal
http://www.nserc-crsng.gc.ca/ContactUs-ContactezNous/RegionalOffices-BureauxRegionaux_eng.asp,200.0,Internal
"javascript:bookmark(document.URL,GetPageTitle(),'EN');",,Internal
http://www.nserc-crsng.gc.ca/OnlineServices-ServicesEnLigne/Index_eng.asp,200.0,Internal
mailto:webapp@nserc-crsng.gc.ca,,Internal
http://www.nserc-crsng.gc.ca/ResearchPortal-PortailDeRecherche/Index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/ResearchPortal-PortailDeRecherche/standards_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca#note,200.0,Internal
http://www.nserc-crsng.gc.ca/ResearchPortal-PortailDeRecherche/standards_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/OnlineServices-ServicesEnLigne/SupportRequest-DemandeDeSoutien_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/ServiceStandards-NormesDeService/standards_oas-normes_sao_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/ServiceStandards-NormesDeService/PerformanceStandards-NormesDeRendement_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reports-Rapports/ServiceStandards-NormesDeService/SII-IAS_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reports-Rapports/ServiceStandards-NormesDeService/VisitSatisfactionSurveys-EnquetesDeSatisfactionVisites_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca#b3,200.0,Internal
http://www.nserc-crsng.gc.ca#b2,200.0,Internal
http://www.nserc-crsng.gc.ca#b1,200.0,Internal
http://www.nserc-crsng.gc.ca#Tableau2,200.0,Internal
http://www.nserc-crsng.gc.ca#Tableau1,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reports-Rapports/ServiceStandards-NormesDeService/VisitSatisfactionSurveys-EnquetesDeSatisfactionVisites_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca#Table2,200.0,Internal
http://www.nserc-crsng.gc.ca#Table1,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/ServiceStandards-NormesDeService/index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reviewers-Examinateurs/IntroPRManual-IntroManuelEP_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Reviewers-Examinateurs/RTI-OIR_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Reviewers-Examinateurs/CompleteManual-ManualEvalComplet_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reviewers-Examinateurs/PeerReview-EvalPairs_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reviewers-Examinateurs/IntroPRManual-IntroManuelEP_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Reviewers-Examinateurs/RTI-OIR_fra.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Reviewers-Examinateurs/CompleteManual-ManualEvalComplet_fra.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reviewers-Examinateurs/PeerReview-EvalPairs_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Policies-Politiques/committeemembers-membrescomite_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca#note3,200.0,Internal
http://www.nserc-crsng.gc.ca#note2,200.0,Internal
http://www.nserc-crsng.gc.ca#note1,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/policies-politiques/complete-complete_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Professors-Professeurs/FinancialAdminGuide-GuideAdminFinancier/index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/ActiveGRF_e.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/ExpenseSupplies-DepensesArticles_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/Transfer_Secondary_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/Transfer_Primary_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/OngoingEligibility_e.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/grantamendment_eng.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/Professors-Professeurs/FinancialAdminGuide-GuideAdminFinancier/AdminMatters-QuestionAdmin_eng.asp#residual,200.0,Internal
http://www.nserc-crsng.gc.ca/OnlineServices-ServicesEnLigne/ARAA-RASA_eng.asp#22,200.0,Internal
http://www.nserc-crsng.gc.ca/Institutions-Etablissements/InstCollProg-EtabCollProg_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Innovate-Innover/alliance-alliance/index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/ase-oro/index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/Videos-Videos_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/About-APropos_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/NSERC2020-CRSNG2020/index_eng.asp#plan5,200.0,Internal
http://www.nserc-crsng.gc.ca/SummaryConsultations-SommaireConsultations_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/NSERC2020-CRSNG2020/OurOrganization-NotreOrganisation_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/NSERC2020-CRSNG2020/index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/NSERC2020-CRSNG2020/OurOrganization-NotreOrganisation_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/ase-oro/index_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/ForMedia-PourMedias/MediaContact-PersonnesRessources_fra.asp,200.0,Internal
mailto:media@nserc-crsng.gc.ca,,Internal
http://www.nserc-crsng.gc.ca/Media-Media/RelatedSites-AutresSites_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/PrizeWinner-GagnantsPrix_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Brassard-Brassard/Profiles-Profils/Golubeva-Golubeva_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Brassard-Brassard/past-anciens_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Brassard-Brassard/Profiles-Profils/Hooshiar-Hooshiar_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Brassard-Brassard/Profiles-Profils/Hooshiar-Hooshiar_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Synergy-Synergie/Index-Index_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Prizes-Prix/Synergy-Synergie/Profiles-Profils/Morandotti-Morandotti_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/2minutes-2minutes/Morandotti-Morandotti-2019_eng.asp,200.0,Internal
http://www.nserc-crsng.gc.ca#tab2,200.0,Internal
http://www.nserc-crsng.gc.ca#tab1,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/2minutes-2minutes/Morandotti-Morandotti-2019_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Media-Media/Funding-Financement_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/Professors-Professeurs/Videos-Videos/DG_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/_doc/Professors-Professeurs/DG-process_fra.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca#tab3,200.0,Internal
http://www.nserc-crsng.gc.ca/ResearchPortal-PortailDeRecherche/Instructions-Instructions/ccv-cvc_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/OnlineServices-ServicesEnLigne/pdf/F100D_f.pdf,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Policies-Politiques/atip-aiprp_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/governance-gouvernance/consentFAQ-consentementFAQ_fra.asp,200.0,Internal
http://www.nserc-crsng.gc.ca/NSERC-CRSNG/governance-gouvernance/consentFAQ-consentementFAQ_eng.asp,200.0,Internal
