URL,Response,Type
https://www.pc.gc.ca/en,200.0,Internal
https://www.pc.gc.ca/en/termes-terms,200.0,Internal
https://www.pc.gc.ca/en/agence-agency/media/ms-sm,200.0,Internal
https://www.pc.gc.ca/en/agence-agency/media/tournages-photos-filming,200.0,Internal
https://www.pc.gc.ca/fr/agence-agency/media/tournages-photos-filming,200.0,Internal
https://www.pc.gc.ca/fr/agence-agency/courriel-email,200.0,Internal
https://www.pc.gc.ca/fr/lhn-nhs/recherche-search,200.0,Internal
https://www.pc.gc.ca/fr/lhn-nhs/nu/epaveswrecks,200.0,Internal
https://www.pc.gc.ca/fr/pn-np/nu/ukkusiksalik,200.0,Internal
mailto:pc.infonunavut-nunavutinfo.pc@canada.ca,,Internal
https://www.pc.gc.ca/fr/pn-np/nu/ukkusiksalik/visit/tarifs-fees,200.0,Internal
https://www.pc.gc.ca/fr/agence-agency/tarifs-fees/consultation,200.0,Internal
mailto:pc.tarifs-fees.pc@canada.ca,,Internal
https://www.pc.gc.ca/en/agence-agency/tarifs-fees/consultation,200.0,Internal
https://www.pc.gc.ca/en/agence-agency/tarifs-fees,200.0,Internal
https://www.pc.gc.ca/~/media/2AE64A0598BF4469AA60A7C9B13F4201.ashx,200.0,Internal
https://www.pc.gc.ca/en/agence-agency/bib-lib,200.0,Internal
https://www.pc.gc.ca/en/agence-agency/bib-lib/politiques-policies,200.0,Internal
https://www.pc.gc.ca/~/media/7BB32C7184D74AAE8C8569899279B8DF.ashx,200.0,Internal
https://www.pc.gc.ca/en/docs/pc/guide/rech-srch,200.0,Internal
https://www.pc.gc.ca/sitecore/service/notfound.aspx?item=web%3a%7b797CCD8D-5BE2-40C0-B3F3-86EFABFEA12F%7d%40en,404.0,Internal
https://www.pc.gc.ca/apps/rps/itm1-/RPSSpecCond_E.asp,200.0,Internal
https://www.pc.gc.ca/apps/rps/RPSQuestion_e.asp,200.0,Internal
http://www.pc.gc.ca/apps/RPS/Itm1-/RPSCoord_e.asp,200.0,Internal
mailto:sharon.irwin2@canada.ca,,Internal
mailto:Matthew.Webb@pc.gc.ca,,Internal
mailto:ian.mcdonald2@canada.ca,,Internal
mailto:darroch.whitaker@canada.ca,,Internal
mailto:laura.siegwartcollier@canada.ca,,Internal
mailto:kevin.fox@canada.ca,,Internal
mailto:jeanette.cowen@canada.ca,,Internal
mailto:manuela.conversano@canada.ca,,Internal
